Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Laboratory Mayhem,Church,1123,9,Type 4 116/73,labmayhem,labmayhem,labmayhem,UC8rO5QCGX8vDqIl07ZjYVQg,In Progress,,,4,116,73
"Spencer & Rains, The Skeleton Keys",Ellen,1447,,Type 4 116/67,spencerandrains,,,,,,,4,116,67
Shriekback Live,Jessica,1471,,Type 4 116/63,shriekback,,,,,,,4,116,63
"Sincerely, Your Muslim Neighbor",Ellen,1513,,Type 4 116/61,Friendlyneighbors1,,,,Done,,,4,116,61
The Fall of Lazarus,Rosie,600,9,Type 4 115/93,nowandstudios,NoWandStudios,,nowandstudios,In Progress,,,4,115,93
indi kids: Artisan Made Indigo Clothing for Your Little Ones,Rosie,1266,6,Type 4 115/93,indikidsclothing,,indi.kids,,Done,,,4,115,93
"The Fresh Preps Debut Album: ""We Are Alive""",Rosie,1957,,Type 4 115/91,TheFreshPreps,thefreshpreps,thefreshpreps,,Done,,,4,115,91
Lamp Model 007,Church,73,5,Type 4 115/88,wood.decor.atelier,,,,Done,In Progress,,4,115,88
More Alike Than Different,Church,655,13,Type 4 115/83,"nightingailbooks, gail.hamblin.5 (p), amy.spampinato.3 (p), theprettycrazies",,,,In Progress,,,4,115,83
Narah and the Unicorn: The Original Narwhal Story,Rosie,1216,13,Type 4 115/67,narahthewhale,bobbyroe1,,,Done,,,4,115,67
The American Bystander #4,Ellen,890,13,Type 4 115/100,americanbystander,mgerber937,,,Done,,,4,115,100
PROTOKOL hangboards,Church,1736,3,Type 4 114/95,PROTOKOLhangboards,,,,Done,,"Something feels off about this one, can't place why",4,114,95
Matt Hill EP,Lauren,767,11,Type 4 114/93,matthill.mu,matthillmusic,matthillmusic,matthillmusictv,In Progress,,,4,114,93
Cop #2 (Volume One),Lauren,685,2,Type 4 114/90,egocentriccomics,,,,Done,,,4,114,90
Hawksbill Brewing Company,Lauren,796,8,Type 4 114/90,hawksbillbrewingcompany,hawksbillbrew,hawksbillbrew,,Done,,,4,114,90
Postalpix,Church,1071,14,Type 4 114/90,PostalPix,PostalPix,postalpix,,Done,,,4,114,90
QikVin - Raising Wine Preservation to New Heights!,Joseph,2300,,Type 4 114/88,ChiselledGrape,ChiselledGrape,,,Done,,,4,114,88
The CheckPoint Series,Rosie,316,7,Type 4 114/87,CheckPointOrganisation,"CheckPointOrg
joshscherr",checkpointorg,,Done,,,4,114,87
Here Inside Debut Album: CoalescE,Ellen,2015,,Type 4 114/87,hereinside,here_inside,here_inside,,Done,,,4,114,87
Wondrous Machines,Lauren,677,2,Type 4 114/80,,superfamoustia,superfamoustia,,Done,,,4,114,80
The Cheeseletes,Rosie,740,8,Type 4 114/78,thecheeseletes,thecheeseletes,thecheeseletes,,Done,,,4,114,78
Magia cum Laude,Lauren,288,9,Type 4 114/77,magiasuda,conrad_hamel,,Ramsenova,In Progress,,,4,114,77
State of Mind Public House and Pizzeria,Lauren,551,8,Type 4 113/96,stateofmindpub,,stateofmindpub,,Done,,,4,113,96
Health Warrior and Operation Farm,Rosie,578,8,Type 4 113/95,HealthWarriorChia,HealthWarrior,healthwarrior,,Done,,,4,113,95
Maybe Capital,Joseph,937,9,Type 4 113/93,MaybeCapitalism,MaybeCapital,maybecapital,UCsXXDhZOjuFR8MVewZs1Wrw,Done,,,4,113,93
Strange Romance Comics: Print Edition,Lauren,1990,,Type 4 113/91,strangeromancecomic,phantasmictales,,,Done,,,4,113,91
Bloodline Golf's Premium Putter Stands Alone,Rosie,1172,5,Type 4 113/89,bloodlinegolf,,bloodlinegolf,,Done,,,4,113,89
"$22,675 raised for ""Blues for Joe"" Album & Scholarship",Joseph,1435,,Type 4 113/100,peterandwillanderson,PeterandWill,peterandwill,,Done,,,4,113,100
Niel Nasset Needs Your Help to Produce a New LP Record,Church,1814,,Type 4 112/97,"nielnasset (p), Niel-Nasset-108086977126",nielnasset,,,In Progress,,,4,112,97
TURA!,Rosie,17,7,Type 4 112/93,"TuraSatanaProductions
siouxzan","theturasatana
girlwerks 
codyjarrettnow",,,Done,,,4,112,93
Chris Strand Album,Rosie,603,11,Type 4 112/93,chrisstrandmusic,ChrisStrandband,,,Done,,,4,112,93
100 Slices of Bacon,Rosie,2117,,Type 4 112/83,luke.hyde.16 (p),lukehyde,,,In Progress,,,4,112,83
The smartest dog tracker suitable for every dog collar,Joseph,1181,14,Type 4 112/82,jaggerlewis.off,jaggerlewis_off,jaggerlewis_off,,Done,,,4,112,82
Holley Knives,Rosie,804,5,Type 4 112/81,"LVIllc
accelerateathens",accelathens,,,Done,,,4,112,81
Grandma Werewolf - Feature Film,Rosie,934,7,Type 4 112/73,"GrandmaWerewolf
zacharywillvideographer","zachwillvfx
",zachwillvfx,RiversidestudiosVFX,In Progress,,,4,112,73
Bobby Miller's END TIMES,Rosie,1110,7,Type 4 111/97,BobbyMillerFan,bobbymiller,therealbobbymiller,,Done,,,4,111,97
Visitors Only: A Comedy/Horror Short,Church,1488,,Type 4 111/97,tranquiloway,tranquiloway,,,Done,,,4,111,97
Crazy in Love,Church,82,7,Type 4 111/95,"CrazyinLovewebseries, Lyle-Weldon-screenwriter-author-190061364427983",LyleWeldon,,,Done,In Progress,,4,111,95
Funny Married Stuff,Church,1085,7,Type 4 111/95,FunnyMarriedStuff,FunMarriedStuff,funnymarriedstuff,funnymarriedstuff,In Progress,,,4,111,95
Saving PlacesÂ®,Lauren,326,7,Type 4 111/94,historicorps,historicorps,historicorps,UCeUs1bWH9h35yu7ptJLLT2A,In Progress,,,4,111,94
#Adulting: The Next Chapter,Rosie,2112,,Type 4 111/92,MillennialMediaProject,adultingseries,,MillennialMediaProject,In Progress,,,4,111,92
Little Star Night Light - Attaches Anywhere Indoors!,Rosie,1250,5,Type 4 111/91,littlestarnightlight,littlestarled,,,Done,,,4,111,91
Glen Templeton Independent Studio Album,Church,2092,,Type 4 111/91,gtmusic,glentempleton,glentempletontour,,Done,,,4,111,91
Perilous Vistas,Rosie,784,9,Type 4 111/87,frog.god.games,froggodgames,,,Done,,,4,111,87
The Nail Snail 3-in-1 Baby Fingernail & Toenail Trimmer Tool,Joseph,911,5,Type 4 111/86,nailsnailbaby,nailsnailbaby,nail_snail_baby,UC9Lh322JZtwRHgbNrnAGizw,Done,,,4,111,86
The Sorry Tale of Fox and Bear: a story with heart!,Joseph,1466,,Type 4 111/77,dirtlanepress,dirtlanepress,,,Done,,,4,111,77
San Quentin Marathon,Rosie,638,7,Type 4 111/73,"SanQuentinMarathon
christine.yoo1 (p)",HerYooness,,,In Progress,,,4,111,73
A Handwriting Workbook for the 21st Century,Lauren,1316,13,Type 4 111/73,,petelaffin,,,Issue,,Twitter won't scrape,4,111,73
Fox & Otter,Lauren,1690,,Type 4 111/70,foxandotter.co,,foxandotter,UC8yDZsL2UqA2lI-31pMA39A,,,,4,111,70
