id,postUrl,message,cta,intents
156899,https://twitter.com/gregorybayne/status/846802739824857088,3 new backers in the past 10 mins! 22 more &amp; we get a bonus pledge! #6DynamicLaws #SupportIndieFilm #FinalHours https://t.co/8XR3b6Jt4X,,
156900,https://twitter.com/gregorybayne/status/846794424650809345,"@grking Thanks for sharing, and being among the 1st to back #6DynamicLaws, Gary!",,
156901,https://twitter.com/gregorybayne/status/846794218966319105,@FirstGlanceFilm Thanks for sharing the #6DynamicLaws Campaign!,,
156902,https://twitter.com/gregorybayne/status/846793577762095104,"Friends! We've been challenged! $2,500 bonus pledge on the line for #6DynamicLaws! Kindly, RT, Pledge &amp; Share.â€_ https://t.co/tntyit1K3a",,
156903,https://twitter.com/gregorybayne/status/846754359182528517,"2 DAYS LEFT. #SupportIndieFilm &amp; join team #6DynamicLaws described as ""So damned funny I peed myself a little.""â€_ https://t.co/W1tXDTC3zk",,
156904,https://twitter.com/gregorybayne/status/846551506190983169,Less than $1400 away from 50% funded my friend. Thank you so damned much. 3 Days 3 &amp; 1/2 Hours to Go. https://t.co/8XR3b713Wv #6DynamicLaws,,
156906,https://twitter.com/gregorybayne/status/846539297062727680,I miss Canada. And Sasquatch hunting. Thanks for this @mikebabz. Go give these guys a vote. https://t.co/CqZOtYincG https://t.co/ysu2q7jFjI,,
156907,https://twitter.com/gregorybayne/status/846532129886384128,The reviews from our @filmfortfest screening are in! Just 3 days and hours to go join team #6DynamicLaws:â€_ https://t.co/ePsVOOd4da,,
156908,https://twitter.com/gregorybayne/status/846514771293745152,"We're less than $1600 from 50% funded for #6DynamicLaws on @kickstarter. 3 Days to go. Friends, I need you tonight. https://t.co/8XR3b713Wv",,
156909,https://twitter.com/gregorybayne/status/846484706103218178,"The ol' ""let's stand on top of the van"" shot. Photo by lilarays. #6dynamiclaws #filmmakingâ€_ https://t.co/7tK4IFB6fE",,
156910,https://twitter.com/gregorybayne/status/846420469448261632,One of my favorite parts of shooting #6dynamiclaws was all the great vehicles folks were kindâ€_ https://t.co/u2v6bUmOUq,,
156911,https://twitter.com/gregorybayne/status/846375423575404545,DEADLINE: THURSDAY 3/30 MIDNIGHT. We're nearly 50% funded for #6DynamicLaws. Love cinema? Love to laugh? Join us! https://t.co/8XR3b713Wv,,
156912,https://twitter.com/gregorybayne/status/846222509968019456,"RT @mikebabz: Support #indiefilm @gregorybayne ""6 Dynamic Laws for Success"" A Noir Comedy on @Kickstarter https://t.co/P6LIgraig2",,
156913,https://twitter.com/gregorybayne/status/846167469160988673,Thanks for joining team #6DynamicLaws Yancey! https://t.co/TAFZWwppSn,,
156914,https://twitter.com/gregorybayne/status/846108478062022656,"Hey, @filmfortfest. I love you. https://t.co/d0stOr05a2",,
156915,https://twitter.com/gregorybayne/status/846083289202929664,Some of the varied #insparations for #6dynamiclaws â€¢ Down by Law â€¢ Eraserhead â€¢ In Cold Blood â€¢â€_ https://t.co/LdCH2QEIO8,,
156916,https://twitter.com/gregorybayne/status/846073910235820033,Just 3 backers away from 140 strong for #6DynamicLaws! I know we can do this. Thanks for jumping onboard friends! https://t.co/8XR3b713Wv,,
156917,https://twitter.com/gregorybayne/status/846031368156954624,We're screening a work-in-progress of the full film today @filmfortfest! 4:30pm #Boiseâ€_ https://t.co/nrvVW8SpsI,,
156918,https://twitter.com/gregorybayne/status/846030698389561345,"$17,430 pledged of $44,000 goal â€¢ 134 backers strong â€¢ 4 Days &amp; change to go. Join our team for #6DynamicLaws here: https://t.co/8XR3b713Wv",,
156919,https://twitter.com/gregorybayne/status/846017504577126400,"$17,430 raised of our $44,000 goal! #6dynamiclaws! We have 5 DAYS LEFT to meet thisâ€_ https://t.co/wtH1Ir6qwa",,
156920,https://twitter.com/gregorybayne/status/845828407820673024,"A word from the author of ""6 Dynamic Laws for Success (in Life, Love &amp; Money),"" E.H. Mumford PhD. Full video @â€_ https://t.co/4ujhr8Buw1",,
