"id","handle","postDate","postType","postUrl","imageUrl","source","sourceId","message","hashtag","cta","paid","comments","shares","likes","views","dislikes","interview","survey","notes","createdAt","updatedAt","CampaignId","intents"
156920,"gregorybayne","""2017-03-26T02:43:01.000Z""","post","https://twitter.com/gregorybayne/status/845828407820673024","","twitter","845828407820673000","A word from the author of ""6 Dynamic Laws for Success (in Life, Love &amp; Money),"" E.H. Mumford PhD. Full video @… https://t.co/4ujhr8Buw1","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156921,"gregorybayne","""2017-03-26T14:53:06.000Z""","post","https://twitter.com/gregorybayne/status/846012135993880576","","twitter","846012135993880600","5 DAYS LEFT for my new noir comedy feature on @kickstarter. Kindly take a gander here: https://t.co/8XR3b713Wv https://t.co/FnqdP4YB9i","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156922,"gregorybayne","""2017-03-25T17:18:31.000Z""","post","https://twitter.com/gregorybayne/status/845686345578115072","","twitter","845686345578115100","$770 away from 40% funded this morning for 6 Dynamic Laws for Success In Life, Love &amp; Money. Y'all are amazing. https://t.co/8XR3b713Wv","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156923,"gregorybayne","""2017-03-25T15:07:49.000Z""","post","https://twitter.com/gregorybayne/status/845653455293235204","","twitter","845653455293235200","5 DAYS LEFT to meet our all-or-nothing goal to complete this zany noir comedy on @kickstarter. See the full trailer… https://t.co/kCP6RbdAj9","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156924,"gregorybayne","""2017-03-25T15:06:30.000Z""","post","https://twitter.com/gregorybayne/status/845653120298344449","","twitter","845653120298344400","Love you guys! https://t.co/K2yutqpBOr","",,,,0,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156925,"gregorybayne","""2017-03-25T15:00:48.000Z""","post","https://twitter.com/gregorybayne/status/845651685871566849","","twitter","845651685871566800","Thanks you for all the amazing support for #6dynamiclaws! We have 5 DAYS LEFT to meet our… https://t.co/mrdvN41U48","6dynamiclaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156926,"gregorybayne","""2017-03-25T04:10:39.000Z""","post","https://twitter.com/gregorybayne/status/845488072317812737","","twitter","845488072317812700","RT @filmfortfest: Be the first to see the Idaho-grown #6DynamicLaws at #filmfort! Sun at 430p https://t.co/RqAysORZlf  #treefort2017","6DynamicLaws,filmfort,treefort2017",,,,1,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156927,"gregorybayne","""2017-03-25T01:56:32.000Z""","post","https://twitter.com/gregorybayne/status/845454321789558784","","twitter","845454321789558800","#6DynamicLaws is $987 away from 40% funded on @kickstarter. For once I made a film that isn't depressing. Join us! https://t.co/8XR3b713Wv","6DynamicLaws",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156928,"gregorybayne","""2017-03-24T20:33:45.000Z""","post","https://twitter.com/gregorybayne/status/845373088585793536","","twitter","845373088585793500","Thank you, @amirmotlagh. Appreciate you being part of #6DynamicLaws! Excited to share this one with you my friend.","6DynamicLaws",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156929,"gregorybayne","""2017-03-24T18:57:59.000Z""","post","https://twitter.com/gregorybayne/status/845348990354780160","","twitter","845348990354780200","Looking for kind backers willing to help us hit 40% funded today. Just $1367 &amp; we're there. https://t.co/8XR3b713Wv #SupportIndieFilm","SupportIndieFilm",,,,0,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
