Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
VIAPERFORMANCE. More Art. More Work. More Awesome!,Jessica,160,1,Type 4 107/69,viaperformanceorg,KiranTanna,,,Done,,,4,107,69
Espruino,Church,161,14,Type 2 450/10,espruino,Espruino,,Espruino,Done,In Progress,,2,450,10
Fil Campbell - New CD - featuring Tom McFarland,Jessica,164,11,Type 1 116/81,FilCampbell,FilCampbell,,,Done,,,1,116,81
Pushee Pieces - A simple and deep strategy micro-game,Jessica,165,9,Type 2 462/3,"pocketvinyl
elizabethjancewiczart",PocketVinyl,pocketvinyl,PocketVinyl,In Progress,,,2,462,3
Athena Organic Farm + Eco-Retreat,Jessica,166,8,Type 3 26/na,"grownherefarms (b)
krystine.mcinnes (p)",GoddessMortgage,,,In Progress,,,3,26,0
At Home With Mystic,Jessica,167,7,Type 4 100/100,julianungano (p),,ungano_agriodimas,,In Progress,,,4,100,100
November Fox ? A Multi-Dimensional Augmented Reality Novel,Jessica,169,13,Type 2 110/90,"NF123 (b)
esther.bertram (b)","EstherBertram
XIFox",,,Done,,,2,110,90
"KORK - the Slim Cork Wallet and Cork Sidekick, 3mm thin!",Jessica,170,6,Type 2 207/15,"korklife (b)
sergiomarrero (p)",SergioMarrero,sergiomarrero1,Sergio Marrero,In Progress,,,2,207,15
Support Taiko Meantime and Chieko Kojima's UK tour 2015,Jessica,172,11,Type 1 101/100,taikomeantime,taikomeantime,,,Done,,,1,101,100
Jayster Wallet - Find your stuff using Bluetooth Technology.,Jessica,173,14,Type 3 14/na,FindJayster,FindJayster,,,Done,,,3,14,0
Make Woo,Jessica,174,6,Type 3 9/na,makewoo,makewoo,,,Done,,,3,9,0
RV Purse Museum - Where the Handbag Meets the Highway,Jessica,175,1,Type 3 16/na,vintagepursegallery,VintagePurseGal,,,Done,,,3,16,0
"The Boondocks Festival, Malmesbury",Jessica,176,11,Type 1 104/101,"TheBondocksFestival
SherstonFest
malmesburyacousticsessions",,,,Done,,,1,104,101
London Burlesque,Rosie,177,4,Type 2 117/59,"Help-Save-London-Burlesque-Festival
-1444088619223737
bettyroseroyal
LBF2017","LondonBurlyFest
bettydlight",londonburlesquefestival,,Done,In Progress,,2,117,59
iCape - Keep Connected During a Haircut,Jessica,180,5,Type 3 28/na,iCapes,iCape,capemakers,,Done,,,3,28,0
Upstate Craft Beer Co. (Phase 1 - Fermenters),Jessica,181,8,Type 1 101/95,upstatecraftbeer,UpstateBeerCo,,,Done,,,1,101,95
Ruby & Charlie are Chicago Intl Puppetry Festival bound!,Jessica,182,15,Type 4 105/100,JessicaSimonAndCo,,,,Done,,,4,105,100
V4 Adventure Backpack,Rosie,184,5,Type 2 161/14,blackemberequipment,helloblackember,,,Done,In Progress,,2,161,14
Occupy Me - A short film,Jessica,187,7,Type 2 141/44,"Fifty2andNine (b)
max.rhyser (b)
occupymefilm (b)
directorfitz (p)
","WithMyEx
directorfitz
AlwaysRhysing
BlakeD13",,,Done,,,2,141,44
Axon Punk: Overdrive,Rosie,188,9,Type 2 260/6,"colin.kyle.14 (p)
Kyle1004 (p)",AxonPunk,axonpunk,UCLoLeICmrny6elRIUU5Nwng,In Progress,In Progress,,2,260,6
"""Uusi Classic"" Limited Edition Playing Cards",Jessica,189,9,Type 2 190/3,"
",,uusidesignstudio,,In Progress,,,2,190,3
The World Upside Down: Portraits,Jessica,190,12,Type 3 45/na,LeeSmathersPhotography,photoevangelist,,,Done,,,3,45,0
Convoy - A tactical roguelike-like,Jessica,191,9,Type 2 224/22,convoygames,convoy_games,,,In Progress,,,2,224,22
Packed Pixels - An extra monitor for your laptop!,Jessica,193,14,Type 1 101/98,kickstartpackedpixels,PackedPixels,,,Done,,,1,101,98
Thou Shall Not Suffer-- A Gothic Grindhouse Action Short,Jessica,194,7,Type 4 108/73," OtisJohnsonProductions (b)
otis.johnson.165 (p)",otisjohnsonpros,,,Done,,,4,108,73
Jones & Fischer - 2015 #LetsGetRowdy USA Tour,Jessica,195,11,Type 1 100/100,JonesandFischer,JonesAndFischer,,,Done,,,1,100,100
"Erik Ehn's ""Maid""",Jessica,197,7,Type 2 122/64,Project-X-Theatre-191203841969,,,,Done,,,2,122,64
Epic Manager: Create your own Adventuring Agency!,Jessica,198,9,Type 1 126/88,manavoidentertainment (b),"WeAreManaVoid
",,,Done,,,1,126,88
Paper Forward - letterpress wrapping paper that gives back,Jessica,199,13,Type 2 270/13,,paperforward,paperforward,,Done,,,2,270,13
The Justin Alan Black Band Debut Album Release,Jessica,200,11,Type 2 120/42,Justinalanblack,JustinAlanBlack,,,Done,,,2,120,42
ZAline Penskirt: Pencil skirt that unzips into an A-line,Jessica,201,6,Type 2 120/42,,SoverraOfficial,,,Done,,,2,120,42
Liberty Thread - Liberty & Libertarian Themed Art & Apparel,Jessica,202,6,Type 3 32/na,LibertyThreadUSA,Liberty_Thread,libertythread,,Done,,"Tumblr: libertythread; Scraper tool stopped working, did not finish manually entering Instagram posts",3,32,0
The Bricks - Never Mind The Ologs,Jessica,204,11,Type 1 106/93,thebricksbards,thebricksbards,,,Done,,,1,106,93
FADE INTO ME a Modern Day Fairy Tale,Jessica,206,13,Type 1 106/93,,charitybradford,,,Done,,,1,106,93
"The Menstrual Cup, Reinvented | Lily Cup Compact",Church,207,5,Type 2 4175/7,Intimina,intimina,intimina,UCR_3_GPO6pkhDiFU9TZRdYA,In Progress,,"Project-specific Facebook page (LilyCupSchweiz) is in Swedish. Also, Type 4 progression overall / after goal",2,4175,7
2015 Hoodcats Calendar,Church,210,12,Type 2 178/46,HoodcatsOAK,,catmanofwestoakland,,Done,In Progress,,2,178,46
PLAYBULB color - Smart Color Light & Wireless Speaker 2-in-1,Church,212,14,Type 2 855/3,mipowglobal,MipowGlobal,mipowglobal,MiPowInc,In Progress,,,2,855,3
Bleeding Heart Brewery,Church,214,8,Type 2 289/35,bleedingheartbrewery,,,,In Progress,,Go through old FB posts,2,289,35
TRAFICANT Documentary - Finishing Funds Campaign,Church,215,7,Type 2 155/37,Traficantdocumentary,Traficant_Movie,,,Done,,,2,155,37
Dirty Delorean Debut Album,Church,217,11,Type 1 112/97,"ricardo.lussnigaglioni (p), thekoipathmusic (p)",dirtydelorean,dirtydelorean,UCOtHCsxpBgmW7Zehxn9oL0Q,In Progress,,,1,112,97
The Cool Waters Band's 8th Studio Album,Church,219,11,Type 3 41/na,Cool-Waters-Band-179301573456,coolwatersband,coolwatersband,UCVOurcMbwZLUcT2uVp3l5Tg,In Progress,,,3,41,0
"The Articulate Clutch: Functionality, Affordability & Style",Church,222,5,Type 2 612/10,ArticulateWallets,articulate_shop,articulate_,,Done,In Progress,,2,612,10
xDroid,Church,223,14,Type 3 67/na,xdroid.inc,,,UCWtcAkH8T_8eFtKILQIsmRg,Done,In Progress,,3,67,0
BeerBro - The Best Bottle Opener In the World. Period.,Church,225,5,Type 2 145/19,OPNRbottleopeners,bottleOPNR,,,Done,,,2,145,19
Facets Kids,Church,226,14,Type 1 109/100,facetschicago,facetschicago,facetschicago,facetsmultimedia,In Progress,,Great campaign to analyze,1,109,100
Nikki Talley & Jason Sharp,Church,227,11,Type 2 122/68,nikkitalleysongs,nikkitalley,,,Done,,,2,122,68
AFK Web Series,Church,228,7,Type 1 110/84,afkwebseries,AFKwebseries,afkwebseries,UCK8cghs2w_n6L8OunC-BFLQ,In Progress,,,1,110,84
THE ANALOG QUEUE,Jessica,229,5,Type 2 190/12,"recycledsaints (b)
geoffpeck (p)",RecycledSaints,recycledsaints,,Done,,,2,190,12
